timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 02:20:52.474, 33472 MiB, 0 %
2026/02/02 02:21:07.474, 33472 MiB, 0 %
2026/02/02 02:21:22.475, 33472 MiB, 0 %
2026/02/02 02:21:37.476, 33472 MiB, 0 %
2026/02/02 02:21:52.476, 34788 MiB, 31 %
2026/02/02 02:22:07.476, 36188 MiB, 57 %
2026/02/02 02:22:22.477, 38530 MiB, 73 %
2026/02/02 02:22:37.477, 38610 MiB, 38 %
2026/02/02 02:22:52.477, 38610 MiB, 30 %
2026/02/02 02:23:07.478, 38630 MiB, 87 %
2026/02/02 02:23:22.478, 38630 MiB, 81 %
2026/02/02 02:23:37.478, 38640 MiB, 63 %
2026/02/02 02:23:52.479, 38640 MiB, 62 %
2026/02/02 02:24:07.479, 38640 MiB, 22 %
2026/02/02 02:24:22.479, 38640 MiB, 55 %
2026/02/02 02:24:37.480, 38640 MiB, 43 %
2026/02/02 02:24:52.481, 38660 MiB, 49 %
2026/02/02 02:25:07.481, 38660 MiB, 45 %
2026/02/02 02:25:22.481, 38660 MiB, 49 %
2026/02/02 02:25:37.482, 38786 MiB, 63 %
2026/02/02 02:25:52.483, 36826 MiB, 53 %
2026/02/02 02:26:07.483, 38594 MiB, 44 %
2026/02/02 02:26:22.483, 38594 MiB, 71 %
2026/02/02 02:26:37.484, 38594 MiB, 51 %
2026/02/02 02:26:52.486, 38614 MiB, 60 %
2026/02/02 02:27:07.487, 38614 MiB, 63 %
2026/02/02 02:27:22.487, 38620 MiB, 47 %
2026/02/02 02:27:37.487, 38620 MiB, 45 %
2026/02/02 02:27:52.487, 38620 MiB, 48 %
2026/02/02 02:28:07.488, 38620 MiB, 50 %
2026/02/02 02:28:22.488, 38620 MiB, 57 %
2026/02/02 02:28:37.488, 38620 MiB, 73 %
2026/02/02 02:28:52.490, 38620 MiB, 60 %
2026/02/02 02:29:07.491, 38620 MiB, 69 %
2026/02/02 02:29:22.492, 38620 MiB, 62 %
2026/02/02 02:29:37.493, 38620 MiB, 77 %
2026/02/02 02:29:52.494, 38446 MiB, 75 %
2026/02/02 02:30:07.495, 33666 MiB, 57 %
2026/02/02 02:30:22.495, 33646 MiB, 0 %
2026/02/02 02:30:37.495, 33646 MiB, 0 %
2026/02/02 02:30:52.496, 34006 MiB, 2 %
2026/02/02 02:31:07.496, 34006 MiB, 0 %
2026/02/02 02:31:22.496, 34006 MiB, 4 %
2026/02/02 02:31:37.496, 48006 MiB, 1 %
2026/02/02 02:31:52.498, 48006 MiB, 1 %
2026/02/02 02:32:07.498, 48006 MiB, 1 %
2026/02/02 02:32:22.498, 48006 MiB, 1 %
2026/02/02 02:32:37.498, 48986 MiB, 0 %
2026/02/02 02:32:52.499, 49284 MiB, 0 %
2026/02/02 02:33:07.501, 49284 MiB, 0 %
2026/02/02 02:33:22.502, 1047 MiB, 76 %
2026/02/02 02:33:37.502, 1047 MiB, 0 %
2026/02/02 02:33:52.504, 1047 MiB, 0 %
2026/02/02 02:34:07.504, 1047 MiB, 0 %
2026/02/02 02:34:22.505, 1047 MiB, 0 %
2026/02/02 02:34:37.506, 1047 MiB, 0 %
2026/02/02 02:34:52.506, 1047 MiB, 0 %
2026/02/02 02:35:07.506, 1047 MiB, 0 %
2026/02/02 02:35:22.506, 1047 MiB, 0 %
2026/02/02 02:35:37.508, 1047 MiB, 0 %
2026/02/02 02:35:52.509, 1047 MiB, 0 %
2026/02/02 02:36:07.509, 1047 MiB, 0 %
2026/02/02 02:36:22.511, 1047 MiB, 0 %
2026/02/02 02:36:37.512, 1047 MiB, 0 %
2026/02/02 02:36:52.512, 1047 MiB, 0 %
2026/02/02 02:37:07.512, 1047 MiB, 0 %
2026/02/02 02:37:22.513, 1047 MiB, 0 %
2026/02/02 02:37:37.513, 1047 MiB, 0 %
2026/02/02 02:37:52.513, 1047 MiB, 0 %
2026/02/02 02:38:07.513, 1047 MiB, 0 %
2026/02/02 02:38:22.514, 1047 MiB, 0 %
2026/02/02 02:38:37.514, 1047 MiB, 0 %
2026/02/02 02:38:52.515, 1047 MiB, 0 %
2026/02/02 02:39:07.515, 1047 MiB, 0 %
2026/02/02 02:39:22.515, 1047 MiB, 0 %
2026/02/02 02:39:37.516, 1047 MiB, 0 %
2026/02/02 02:39:52.516, 1047 MiB, 0 %
2026/02/02 02:40:07.516, 1047 MiB, 0 %
2026/02/02 02:40:22.516, 1047 MiB, 0 %
2026/02/02 02:40:37.517, 1047 MiB, 0 %
2026/02/02 02:40:52.517, 1047 MiB, 0 %
2026/02/02 02:41:07.517, 1047 MiB, 0 %
2026/02/02 02:41:22.519, 1047 MiB, 0 %
2026/02/02 02:41:37.519, 1047 MiB, 0 %
2026/02/02 02:41:52.519, 1047 MiB, 0 %
2026/02/02 02:42:07.519, 1047 MiB, 0 %
2026/02/02 02:42:22.520, 1047 MiB, 0 %
2026/02/02 02:42:37.520, 1047 MiB, 0 %
2026/02/02 02:42:52.521, 1047 MiB, 0 %
2026/02/02 02:43:07.522, 1047 MiB, 0 %
2026/02/02 02:43:22.524, 1047 MiB, 0 %
2026/02/02 02:43:37.525, 1047 MiB, 0 %
2026/02/02 02:43:52.528, 1047 MiB, 0 %
2026/02/02 02:44:07.528, 1047 MiB, 0 %
2026/02/02 02:44:22.529, 1047 MiB, 0 %
2026/02/02 02:44:37.530, 1047 MiB, 0 %
2026/02/02 02:44:52.532, 1047 MiB, 0 %
2026/02/02 02:45:07.533, 1047 MiB, 0 %
2026/02/02 02:45:22.533, 1047 MiB, 0 %
2026/02/02 02:45:37.533, 1047 MiB, 0 %
2026/02/02 02:45:52.535, 1047 MiB, 0 %
2026/02/02 02:46:07.535, 1047 MiB, 0 %
2026/02/02 02:46:22.535, 1047 MiB, 0 %
2026/02/02 02:46:37.536, 1047 MiB, 0 %
2026/02/02 02:46:52.538, 1047 MiB, 0 %
2026/02/02 02:47:07.539, 1047 MiB, 0 %
2026/02/02 02:47:22.540, 1047 MiB, 0 %
2026/02/02 02:47:37.542, 1047 MiB, 0 %
2026/02/02 02:47:52.543, 1047 MiB, 0 %
2026/02/02 02:48:07.543, 1047 MiB, 0 %
